cohort,time,event_time,estimate,std_error
41,24,-17,0.014373111687423848,0.014454954460258532
41,25,-16,-0.011942933797310429,0.020429038373490565
41,26,-15,0.03393872444834743,0.01079238997046711
41,27,-14,0.049775841174581704,0.026907368133702543
41,28,-13,0.011081832660214841,0.01318400830238979
41,29,-12,-0.010413082900503835,0.020028667154627904
41,30,-11,0.037987591907465604,0.007405281717711225
41,31,-10,0.046363474435055424,0.025977912812210045
41,32,-9,0.011906799347327572,0.007047443971061628
41,33,-8,-0.006720360801122496,0.015606244552527897
41,34,-7,0.022243912484570964,0.005647555730125913
41,35,-6,0.04209961460188806,0.029126663114592194
41,36,-5,0.004981773738455181,0.005771288179020127
41,37,-4,-0.013992433677066003,0.01070149464471588
41,38,-3,0.028768023096561908,0.018511503374732313
41,39,-2,0.04090517730961902,0.03461096295903451
41,40,-1,0,NA
41,41,0,-0.0175632288547488,0.004850386970873665
41,42,1,0.027771322582150693,0.02272160814431544
41,43,2,0.03972643387754423,0.03841907940013154
41,44,3,0.003505611817313665,0.004041843589515009
